OTU	Test-Statistic	P	FDR_P	Bonferroni_P	skin/other_mean	oral_mean	gut_mean	taxonomy
denovo6098	152.381340463	8.14352335017e-34	1.26316195694e-31	1.27413566337e-29	0.0	0.0	0.5	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__
denovo17604	152.380934094	8.14517815374e-34	1.26316195694e-31	1.27439457393e-29	0.0	0.0	0.52380952381	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__uniformis
denovo15504	152.380121364	8.14848874326e-34	1.26316195694e-31	1.27491254877e-29	0.0	0.0	0.619047619048	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__
denovo6286	152.378739742	8.15411975273e-34	1.26316195694e-31	1.27579357651e-29	0.0	0.0	1.16666666667	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__
denovo22397	152.211540901	8.86510435766e-34	1.35983747823e-31	1.3870342278e-29	0.0062893081761	0.45652173913	0.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;s__dispar
denovo18689	152.136844755	9.20245949012e-34	1.39788039983e-31	1.43981681182e-29	0.0020964360587	0.0	0.452380952381	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__
denovo6140	151.767299554	1.10700513419e-33	1.66540407015e-31	1.73202023295e-29	0.0062893081761	0.0	0.809523809524	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__
denovo13210	151.290121358	1.40529520314e-33	2.09402369031e-31	2.19872487483e-29	0.0398322851153	0.0	4.57142857143	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__
denovo11947	150.197199325	2.42712737118e-33	3.58253158957e-31	3.79748348495e-29	0.268343815514	13.3260869565	0.0714285714286	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__parainfluenzae
denovo4445	149.840523827	2.90097287648e-33	4.24192725472e-31	4.53886216255e-29	0.0	0.45652173913	0.0	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria;s__
denovo8815	148.045318931	7.11815528819e-33	1.03120979295e-30	1.11370657639e-28	0.958071278826	0.0217391304348	75.6904761905	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__
denovo16983	146.441701474	1.58704252773e-32	2.27806122833e-30	2.48308673888e-28	0.0125786163522	0.0	0.785714285714	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus
denovo7233	144.383423277	4.44158519014e-32	6.31754926226e-30	6.94930418849e-28	0.1928721174	0.0	2.69047619048	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__
denovo1339	143.649334645	6.41125893326e-32	8.99262270183e-30	1.0031055727e-27	0.0083857442348	0.565217391304	0.0	k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__
denovo12805	143.641239899	6.43726027486e-32	8.99262270183e-30	1.00717374261e-27	0.0796645702306	1.08695652174	0.0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella;s__
denovo8154	143.514230429	6.85931622471e-32	9.49742138511e-30	1.07320861652e-27	0.0083857442348	0.45652173913	0.0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__parainfluenzae
denovo441	143.288126226	7.68030962995e-32	1.05408881114e-29	1.2016612447e-27	0.0188679245283	0.0	1.71428571429	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;s__
